y_test,y_predictions
48.0,69.75
70.0,68.25
57.0,62.69
70.0,53.18
70.0,64.51
10.0,65.88
65.0,62.13
66.0,73.64
20.0,64.14
70.0,64.0
70.0,49.21
60.0,61.35
61.0,69.33
70.0,62.25
70.0,63.63
86.0,60.84
47.0,63.71
57.0,60.33
72.0,61.59
70.0,59.44
40.0,55.65
65.0,69.74
73.0,64.22
55.0,59.84
60.0,58.78
54.0,63.89
83.0,62.83
71.0,56.94
57.0,63.47
72.0,62.71
23.0,68.78
81.0,69.20190413943355
66.0,64.85
84.0,61.8
66.0,63.71
51.0,65.76
30.0,64.81
75.0,62.95
87.0,59.68
86.0,62.91
75.0,70.41
60.0,68.27
50.0,54.42
65.0,65.26
71.0,57.61
70.0,68.38
55.0,52.17
70.0,63.31
39.0,56.6
50.0,64.0122962962963
61.0,66.15
40.0,60.34
77.0,57.95
62.0,65.46
33.0,61.33
10.0,68.87
78.0,71.77
80.0,71.45
72.0,72.6
70.0,58.74
71.0,64.31
75.0,58.27
60.0,57.85
50.0,49.11
78.0,71.73
69.0,65.48
64.0,63.66
76.0,61.37
60.0,76.42
66.0,68.64
20.0,65.51
40.0,66.11
20.0,59.76
74.0,65.07
85.0,54.86
75.0,53.59
77.0,59.49
50.0,67.19
30.0,62.8
73.0,68.67
72.0,63.66
76.0,67.36
90.0,67.12
100.0,69.41
77.0,55.62
67.0,58.14
25.0,55.28
70.0,66.24
51.0,64.02
90.0,62.42
54.0,45.34
70.0,69.4
40.0,64.17
55.0,59.18
68.0,59.99891626533655
73.0,66.22
50.0,58.71
84.0,64.1
10.0,60.37
73.0,75.68
80.0,63.41
64.0,69.41
60.0,70.46
30.0,64.88
69.0,70.59
75.0,64.23
70.0,59.54
59.0,60.15
74.0,59.63
20.0,42.91
78.0,58.54
70.0,63.06
62.0,58.97
40.0,51.36
63.0,67.99
60.0,58.19
70.0,57.6
